user_id,song_id,listen_count,timestamp,interaction,genres,hashtag
85,429,2,2024-02-13 18:37:23.159967,-1,"['Ambient', 'Rock', 'Metal', 'Reggae', 'Opera', 'Latin', 'DrumAndBass', 'Dubstep', 'Punk', 'Jazz', 'Lo-fi', 'R&B', 'Funk', 'Country', 'House', 'Afrobeats', 'Ska', 'Blues']",#MusicMood
17,312,1,2024-08-07 14:11:23.159979,-1,"['Emo', 'Country', 'Dancehall', 'Trance', 'Reggae', 'Lo-fi', 'Disco', 'Acoustic', 'Synthwave', 'Pop', 'Funk', 'Electronic', 'Folk', 'Chillstep', 'Soul']","#Dreamy,#TikTokViral"
15,247,0,2024-10-04 20:25:23.159984,2,"['Chillstep', 'Gospel', 'Emo', 'Acoustic', 'Grunge', 'Electronic', 'Blues', 'Hip-Hop', 'Reggae', 'K-Pop', 'Techno', 'EDM', 'Ska', 'Ambient', 'Country', 'Funk', 'World', 'Lo-fi', 'Synthwave']",
11,25,0,2024-03-05 03:07:23.159987,-1,"['Ambient', 'Metal', 'Synthwave', 'Funk']","#InnerPeace,#ChillVibes,#HealingThroughMusic,#FeelsTrain,#Soulful,#OnMyMind,#LoveSong,#LostInThought"
65,160,0,2024-09-15 19:08:23.159991,2,"['Latin', 'World', 'Dubstep', 'Soul', 'Rock', 'Techno', 'Electronic', 'Trap', 'Opera', 'House', 'Ska', 'Dancehall', 'Reggae']","#Mood,#MusicToFeelTo,#Emotional,#StoryOfMyLife,#Dreamy,#SelfReflection,#JustVibing,#HealingThroughMusic,#LifeFeels,#ViralSound"
83,15,2,2024-01-29 14:00:23.159994,-1,"['Rock', 'R&B', 'Folk', 'Punk', 'House', 'Jazz', 'Reggae', 'Ska', 'K-Pop', 'Afrobeats', 'Opera']","#StoryOfMyLife,#MusicMood,#TikTokViral,#MusicTherapy,#SelfReflection,#FeelsTrain,#MusicToFeelTo,#LateNightVibes,#LostAndFound,#OnMyMind,#Soulful,#Emotional,#LifeFeels,#Mood,#LostInThought"
26,435,0,2024-12-01 10:55:23.159998,-1,"['R&B', 'Jazz', 'Rock', 'Grunge', 'Dancehall', 'Latin']",#LateNightVibes
4,195,2,2024-02-12 03:46:23.160001,-1,"['Rock', 'Techno', 'Synthwave', 'Trance']","#Soulful,#LifeFeels,#InnerPeace,#Dreamy,#MusicTherapy,#ChillVibes,#OnMyMind,#CryingInTheClub,#TikTokViral,#SadBoyHours,#MusicToFeelTo,#LoveSong,#FeelsTrain,#LostAndFound"
40,445,2,2024-04-28 17:04:23.160004,1,"['Folk', 'Ska', 'Trap', 'Techno', 'Synthwave', 'House', 'Dubstep', 'EDM', 'Ambient', 'R&B', 'Pop', 'Electronic', 'Latin', 'Chillstep', 'Acoustic', 'Grunge']",
36,9,1,2024-01-27 18:58:23.160008,-1,[],"#StoryOfMyLife,#Soulful,#InnerPeace,#DeepThoughts,#MusicMood,#LateNightVibes,#RawEmotions,#ChillVibes,#Mood,#LostAndFound,#MusicToFeelTo,#OnMyMind,#LifeFeels,#TikTokViral"
